Name,Condition,RecP,Total Count,Recommendations,Acrive Ingredients,Uses,
Children's Dimetapp,Children's Cough,17%,986949,167781.33,"In each 5ml:
Diphenhydramine HCl, USP 6.25 mg; Antihistamine/Cough suppressant
Phenylephrine HCl, USP 2.5 mg; Nasal decongestant","['temporarily relieves these symptoms occurring with a cold, hay fever, or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tcough\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'nasal congestion', 'cough', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
Children's Dimetapp,Children's Cough,17%,986949,167781.33,"In each 10ml:
Acetaminophen, USP 320 mg; pain reliever/fever reducer
Diphenhydramine HCl, USP 12.5 mg; antihistamine/cough suppressant
Phenylephrine HCl, USP 5 mg; nasal decongestant","['temporarily relieves these symptoms associated with a cold, or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tfever\n\r\n\t\t\t\tminor aches and pains', 'headache', 'sore throat', 'fever', 'minor aches and pains', 'temporarily relieves nasal congestion, and cough due to minor throat and bronchial irritation occurring with a cold', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titching of the nose or throat\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\trunny nose', 'sneezing', 'itching of the nose or throat', 'itchy, watery eyes', 'runny nose', 'temporarily restores freer breathing through the nos']",
Children's Dimetapp,Children's Cough,17%,986949,167781.33,"In each 10ml:
Brompheniramine maleate, USP 2 mg; antihistamine
Dextromethorphan HBr, USP 10 mg; cough suppressant
Phenylephrine HCl , USP 5 mg; nasal decongestant","['temporarily relieves cough due to minor throat and bronchial irritation occurring with a cold, and nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves these symptoms due to hay fever (allergic rhinitis):\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat', 'temporarily restores freer breathing through the nose']",
Children's Dimetapp,Children's Cough,17%,986949,167781.33,"In each 10ml
	Brompheniramine maleate, USP 1 mg; antihistamine
	Phenylephrine HCl, USP 2.5 mg; nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves these symptoms due to hay fever (allergic rhinitis):\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
Children's Dimetapp,Children's Cough,17%,986949,167781.33,"In each tablet
	Brompheniramine maleate, USP 1 mg; Antihistamine
	Phenylephrine HCl, USP 2.5 mg; Nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves these symptoms due to hay fever (allergic rhinitis) or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat', 'temporarily restores freer breathing through the nose']",
Children's Robitussin,Children's Cough,15%,986949,148042.35,"Chlorpheniramine maleate, USP 2 mg: Antihistamine

Dextromethorphan HBr, USP 15 mg: Cough suppressant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
Children's Robitussin,Children's Cough,15%,986949,148042.35," 
In each 5 mL:
Dextromethorphan HBr, USP 5 mg Cough suppressant
Guaifenesin, USP 50 mg Expectorant
Phenylephrine HCl, USP 2.5 mg Nasal decongestant","['helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes', 'temporarily relieves these symptoms occurring with a cold:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation', 'nasal congestion', 'cough due to minor throat and bronchial irritation']",
Children's Robitussin,Children's Cough,15%,986949,148042.35,"Active ingredient (in each 5 ml tsp)
Dextromethorphan HBr, USP 7.5 mg",,
Children's Robitussin,Children's Cough,15%,986949,148042.35,"Chlorpheniramine maleate, USP 1 mg; Antihistamine
Dextromethorphan HBr, USP 7.5 mg; Cough suppressant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat']",
Children's Robitussin,Children's Cough,15%,986949,148042.35,"In each 5 ml:
Dextromethorphan HBr, USP 5 mg; Cough suppressant
Guaifenesin, USP 100 mg; Expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes']",
Children's Chestal,Children's Cough,1 %,986949,9869.49,"Dulcamara 5C HPUS; Relieves colds and cough worsened by exposure to damp cold

	Ferrum phosphoricum 9C HPUS; Relieves colds with gradual onset, minor sore throat, and dry, fitful cough

	Hydrastis canadensis 9C HPUS; Relieves colds and cough associated with runny nose

	Kali bichromicum 9C HPUS; Relieves nasal discharge

	Nux vomica 9C HPUS; Relieves sneezing attacks


		The letters HPUS indicate that this ingredient is officially included in the Homeopathic Pharmacopoeia of the United States.

		**C, K, CK, and X are homeopathic dilutions: see www.boironusa.com for details.","['nasal and chest congestion', 'fitful cough', 'sneezing', 'minor sore throat', 'runny or stuffy nose\xc2\xa0']",
Children's Chestal,Children's Cough,1 %,986949,9869.49,"Antimonium tartaricum 6C; Helps loosen thick mucus
Bryonia alba 3C; Relieves dry and painful cough
Coccus cacti 3C; Relieves cough associated with a tickling in the throat
Drosera rotundifolia 3C;  Relieves barking cough worse at night
Ipecacuanha 3C; Relieves cough associated with nausea
Pulsatilla 6C;  Relieves wet cough during the day becoming worse at night
Rumex crispus 6C; Relieves dry cough triggered by cold air
Spongia tosta 3C; Relieves dry, croupy and barking cough
Sticta pulmonaria 3C; Relieves nighttime hacking cough","['Temporary relieves cough due to minor throat and bronchial irritation as may occur with a cold.', 'Helps loosen phlegms (mucus) and thin bronchial secretions to make coughs more productive.']",
Children's Chestal,Children's Cough,1 %,986949,9869.49,"Antimonium tartaricum 6C; Helps loosen thick mucus
Bryonia alba 3C; Relieves dry and painful cough
Coccus cacti 3C; Relieves cough associated with a tickling in the throat
Drosera rotundifolia 3C;  Relieves barking cough worse at night
Ipecacuanha 3C; Relieves cough associated with nausea
Pulsatilla 6C;  Relieves wet cough during the day becoming worse at night
Rumex crispus 6C; Relieves dry cough triggered by cold air
Spongia tosta 3C; Relieves dry, croupy and barking cough
Sticta pulmonaria 3C; Relieves nighttime hacking cough","['Temporary relieves cough due to minor throat and bronchial irritation as may occur with a cold.', 'Helps loosen phlegms (mucus) and thin bronchial secretions to make coughs more productive.']",
PediaCare,Children's Cough,5 %,986949,49347.45,"In each 5 mL (5 mL = one teaspoon)
Dextromethorphan HBr 7.5 mg: Cough suppressant",,
PediaCare,Children's Cough,5 %,986949,49347.45,"In each 5 mL (1 teaspoon):

	Dextromehorphan HBr, USP 5 mg: cough supressant
	Guaifenesin, USP 100 mg: expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help your child get to sleep', 'cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the intensity of coughing', 'the impulse to cough to help your child get to sleep']",
PediaCare,Children's Cough,5 %,986949,49347.45,"Iin each 5 mL, 1 teaspoon:
Acetaminophen 160 mg: Pain reliever/fever reducer
Chlorpheniramine maleate 1 mg: Antihistamine
Dextromethorphan HBr 5 mg: Cough Suppressant
Phenylephrine HCI 2.5 mg: Nasal decongestant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'cough', 'headache', 'sore throat\xc2\xa0', 'sneezing and runny nose\xc2\xa0', 'stuffy nose', 'temporarily reduces fever']",
PediaCare,Children's Cough,5 %,986949,49347.45,"Active ingredient (in each 5 mL, 1 teaspoon):
Acetaminophen 160 mg: Pain reliever/fever reducer
Chlorpheniramine maleate 1 mg: Antihistamine
Dextromethorphan HBr 5 mg: Cough Suppressant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'cough', 'headache', 'sore throat', 'sneezing and runny nose\xc2\xa0', 'temporarily reduces fever']",
PediaCare,Children's Cough,5 %,986949,49347.45,"Active ingredient in each 5 mL (1 teaspoonful):

			Phenylephrine HCl 2.5 mg: Nasal decongestant",,
PediaCare,Children's Cough,5 %,986949,49347.45,"In each 5 mL, 1 teaspoon:

	Acetaminophen 160 mg; Pain reliever/fever reducer
	Dextromethorphan HBr 5 mg; Cough Suppressant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'cough', 'headache', 'sore throat\xc2\xa0', 'temporarily reduces fever']",
PediaCare,Children's Cough,5 %,986949,49347.45,"In each 5 mL, 1 teaspoon:
Acetaminophen 160 mg: Pain reliever/fever reducer
Chlorpheniramine maleate 1 mg: Antihistamine
Dextromethorphan HBr 5 mg: Cough Suppressant
Phenylephrine HCI 2.5 mg: Nasal decongestant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'headache', 'sore throat\xc2\xa0', 'stuffy nose', 'cough', 'sneezing and runny nose', 'temporarily reduces fever']",
PediaCare,Children's Cough,5 %,986949,49347.45,"In each 5 mL (1 teaspoon):
Acetaminophen 160 mg: Pain reliever/fever reducer
Chlorpheniramine maleate 1 mg: Antihistamine
Dextromethorphan HBr 5 mg: Cough Suppressant
Phenylephrine HCI 2.5 mg: Nasal decongestant","['temporarily relieves the following cold/flu symptoms:', 'minor aches and pains', 'cough', 'headache', 'sore throat\xc2\xa0', 'sneezing and runny nose\xc2\xa0', 'stuffy nose', 'temporarily reduces fever']",
PediaCare,Children's Cough,5 %,986949,49347.45,"In each 1.25 mL:

			Ibuprofen 50 mg (NSAID)* Pain reliever/Fever reducer

			* nonsteroidal anti-inflammatory drug","['reduces fever', 'relieves minor aches and pains due to the common cold, flu, sore throat, headaches and toothaches']",
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"Active ingredient (in each packet)

	Guaifenesin, USP 100 mg: Expectorant",,
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"In each 5 mL:

	Dextromethorphan HBr 5 mg; Cough suppressant

	Guaifenesin 100 mg; Expectorant

	Phenylephrine HCl 2.5 mg; Nasal decongestant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help your child get to sleep\n\r\n\t\t\t\tnasal congestion due to a cold\n\r\n\t\t\t\tstuffy nose', 'cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the intensity of coughing', 'the impulse to cough to help your child get to sleep', 'nasal congestion due to a cold', 'stuffy nose']",
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"Active ingredient (in each 5 mL):

	Guaifenesin, USP 100 mg; Expectorant",,
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"In each 5 mL:

	Dextromethorphan HBr 5 mg; Cough suppressant

	Guaifenesin 100 mg; Expectorant

	Phenylephrine HCl 2.5 mg; Nasal decongestant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help your child get to sleep\n\r\n\t\t\t\tnasal congestion due to a cold\n\r\n\t\t\t\tstuffy nose', 'cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the intensity of coughing', 'the impulse to cough to help your child get to sleep', 'nasal congestion due to a cold', 'stuffy nose']",
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"In each 5 mL:

	Guaifenesin 100 mg; Expectorant

	Phenylephrine HCl 2.5 mg; Nasal decongestant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tnasal congestion due to a cold\n\r\n\t\t\t\tstuffy nose', 'nasal congestion due to a cold', 'stuffy nose']",
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"In each 10ml

	Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Guaifenesin 200 mg; Expectorant

	Phenylephrine HCl 5 mg; Nasal decongestant","['temporarily relieves these common cold and flu symptoms:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tstuffy nose\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help your child get to sleep\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\theadache', 'nasal congestion', 'stuffy nose', 'cough due to minor throat and bronchial irritation', 'the intensity of coughing', 'the impulse to cough to help your child get to sleep', 'minor aches and pains', 'sore throat', 'headache', 'temporarily reduces fever', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive']",
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"Active ingredients (in each packet):

	Dextromethorphan HBr 5 mg; Cough suppressant

	Guaifenesin 100 mg; Expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help you get to sleep', 'cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the intensity of coughing', 'the impulse to cough to help you get to sleep']",
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"Active ingredients (in each 10 mL):

	Acetaminophen 325 mg; Pain reliever/fever reducer

	Diphenhydramine HCl 12.5 mg; Antihistamine/cough suppressant

	Phenylephrine HCl 5 mg; Nasal decongestant","['temporarily relieves these common cold and flu symptoms:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\tcough', 'minor aches and pains', 'headache', 'sore throat', 'nasal congestion', 'runny nose', 'sneezing', 'cough', 'controls cough to help your child get to sleep', 'temporarily reduces fever']",
Children's Mucinex,Children's Cough,9 %,986949,88825.41,"Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Guaifenesin 200 mg; Expectorant

	Phenylephrine HCl 5 mg  Nasal decongestant","['temporarily relieves these common cold and flu symptoms:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tstuffy nose\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help your child get to sleep\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\theadache', 'nasal congestion', 'stuffy nose', 'cough due to minor throat and bronchial irritation', 'the intensity of coughing', 'the impulse to cough to help your child get to sleep', 'minor aches and pains', 'sore throat', 'headache', 'temporarily reduces fever', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive']",
