Name,Condition,Recommendations,Acrive Ingredients,Uses,
Sucrets,Sore Throat Lozenges,55051.56,"Per pouch:
	Menthol 3.3 mg; oral anesthetic
	Pectin 12.5 mg; oral demulcent

	 

	 ","['Temporarily relieves occasional minor irritation, pain, sore throat and sore mouth', 'For protection of irritated areas in sore mouth and throat']",
Sucrets,Sore Throat Lozenges,55051.56,"In each lozenge:
Dyclonine Hydrochloride 3.0 mg; oral anesthetic/analgesic
Menthol 6.0 mg; cough suppressant","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants']",
Sucrets,Sore Throat Lozenges,55051.56,"per lozenge:
Menthol 5.0 mg; Cough Suppressant
Pectin 6.0 mg; Demulcent","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants', 'for protection of irritated areas in sore mouth and throat']",
Halls,Sore Throat Lozenges,206443.35,"In each drop:

	Freshmint™
	Active Ingredient: Menthol 5.2 mg 

	Peppermint
	Active Ingredient: Menthol 9.4 mg

	Spearmint
	Active Ingredient: Menthol 5 mg

	Black Cherry
	Active Ingredient: Menthol 5.8 mg (squares), 5 mg (drops) 

	Citrus Blend
	Active Ingredient: Menthol 5 mg

	Honey-Berry
	Active Ingredient: Menthol 2.5 mg

	Honey-Lemon
	Active Ingredient: Menthol 7.6 mg

	Mountain Menthol™
	Active Ingredient: Menthol 6.8 mg (squares), 5.8 mg (drops)

	 ","['cough due to a cold', 'occasional minor irritation or sore throat']",
Halls,Sore Throat Lozenges,206443.35,"In each drop:

	Cherry
	Active Ingredient: Menthol 7.5 mg

	Honey-Lemon 
	Active Ingredient: Menthol 7.5 mg

	Icy Lemon™ 
	Active Ingredient: Menthol 2.7 mg

	Icy Strawberry™ 
	Active Ingredient: Menthol 2.7 mg


	 ","['cough due to a cold', 'occasional minor irritation or sore throat']",
Halls,Sore Throat Lozenges,206443.35,"In each drop:
Menthol 7.5 mg; Cough suppressant, Oral Anesthetic","['cough due to a cold', 'occasional minor irritation or sore throat']",
Halls,Sore Throat Lozenges,206443.35,"In each drop:
Pectin 7 mg",,
Halls,Sore Throat Lozenges,206443.35,"HALLS Defense® Vitamin C Supplement Drops:
Per drop:
Calories: 15
Sodium: 10 mg
Total Carbohydrate: 4 g
Sugars: 3 g
Vitamin C: 60 mg


	HALLS Defense® Harvest Cherry Supplement Drops:
	Per drop:
	Calories: 15
	Sodium: 10 mg
	Total Carbohydrate: 4 g
	Sugars: 3 g
	Vitamin C: 60 mg
	Zinc: 1.5 mg
	Standardized Echinacea Root Extract: 15 mg",,
Halls,Sore Throat Lozenges,206443.35,"In each drop:
Mocha Mint Flavor
Active Ingredient: Menthol 5 mg

Apple Cider Flavor 
Active Ingredient: Menthol 5.7 mg","['Cough due to a cold', 'Occasional minor irritations or sore throat']",
Halls,Sore Throat Lozenges,206443.35,"In each drop:
Menthol 2.5 mg ",,
Halls,Sore Throat Lozenges,206443.35,"In each drop:
Pectin 7 mg",,
Dermoplast,Sun Burn Relief,94678,"Benzethonium Chloride USP 0.2%; Antiseptic
	Benzocaine USP 20%; Topical analgesic","['sunburn', 'insect bites', 'minor cuts', 'scrapes', 'minor burns', 'minor skin irritations']",
Dermoplast,Sun Burn Relief,94678,"Benzocaine USP 20%; Topical analgesic
	Menthol USP 0.5%; Topical analgesic",,
Dermoplast,Topical Anesthetics,302211.41,"Benzethonium Chloride USP 0.2%; Antiseptic
	Benzocaine USP 20%; Topical analgesic","['sunburn', 'insect bites', 'minor cuts', 'scrapes', 'minor burns', 'minor skin irritations']",
Dermoplast,Topical Anesthetics,302211.41,"Benzocaine USP 20%; Topical analgesic
	Menthol USP 0.5%; Topical analgesic",,
Bactine,Topical Anesthetics,135030.63,"Benzalkonium Cl 0.13% w/w; First aid antiseptic
Lidocaine HCl 2.5% w/w; Pain relieving liquid

	 ","['cuts', 'scrapes', 'burns']",
Bactine,Topical Anesthetics,135030.63,"Benzalkonium Cl 0.13% w/w; First aid antiseptic
Lidocaine HCl 2.5% w/w; Pain relieving spray","['cuts', 'scrapes', 'burns', 'sunburn', 'skin irritations']",
Bactine,Topical Antibiotics/Antiseptics,13140.41,"Benzalkonium Cl 0.13% w/w; First aid antiseptic
Lidocaine HCl 2.5% w/w; Pain relieving spray","['cuts', 'scrapes', 'burns', 'sunburn', 'skin irritations']",
Bactine,Topical Antibiotics/Antiseptics,13140.41,"Benzalkonium Cl 0.13% w/w; First aid antiseptic
Lidocaine HCl 2.5% w/w; Pain relieving liquid

	 ","['cuts', 'scrapes', 'burns']",
Betadine,Topical Antibiotics/Antiseptics,39421.23,"Povidone-iodine, 10% (1% available iodine); Antiseptic","['for preparation of the skin prior to surgery', 'helps reduce bacteria that potentially can cause skin infection']",
Betadine,Topical Antibiotics/Antiseptics,39421.23,"Povidone-iodine Solution USP, 10% (equal to 1% available iodine)",,
Betadine,Topical Antibiotics/Antiseptics,39421.23,"Povidone-iodine, 5% (0.5% available iodine); Antiseptic","['for preparation of the skin prior to surgery', 'helps reduce bacteria that potentially can cause skin infection']",
Betadine,Topical Antibiotics/Antiseptics,39421.23,"Povidone-iodine, 7.5% – equal to 0.75% available iodine; Antiseptic","['disinfectant hand wash and skin cleanser', 'significantly reduces bacteria on the skin']",
Bacitraycin Plus,Topical Antibiotics/Antiseptics,39421.23,"In each gram
Bacitracin 500 units; First Aid Antibiotic
Lidocaine 40 mg; Pain Reliever","['minor cuts', 'scrapes', 'burns']",
Bacitraycin Plus,Topical Antibiotics/Antiseptics,39421.23,"In each gram
Bacitracin 500 units; First Aid Antibiotic","['minor cuts', 'scrapes', 'burns']",
Bacitraycin Plus,Topical Antibiotics/Antiseptics,39421.23,"In each gram
Bacitracin 500 units; First Aid Antibiotic","['minor cuts', 'scrapes', 'burns']",
Neosporin,Topical Antibiotics/Antiseptics,985530.75,Benzalkonium Cl 0.13%, First aid antiseptic,"['cuts', 'scrapes', 'burns']"
Neosporin,Topical Antibiotics/Antiseptics,985530.75,"Bacitracin 500 units; First aid antibiotic
Neomycin 3.5 mg; First aid antibiotic
Polymyxin B 10,000 units; First aid antibiotic
Pramoxine HCl 10 mg; External analgesic","['cuts', 'scrapes', 'burns']",
Neosporin,Topical Antibiotics/Antiseptics,985530.75,"In each gram: 
Bacitracin 500 units; First aid antibiotic
Neomycin 3.5 mg; First aid antibiotic
Polymyxin B 10,000 units; First aid antibiotic
Pramoxine HCl 10 mg; External analgesic","['first aid to help prevent infection and temporarily relief of pain or discomfort in minor:', 'cuts', 'scrapes', 'burns']",
Neosporin,Topical Antibiotics/Antiseptics,985530.75,"Neomycin 3.5 mg; First aid antibiotic
Polymyxin B 10,000 units; First aid antibiotic
Pramoxine HCl 10 mg; External analgesic","['first aid to help prevent infection and temporarily relief of pain or discomfort in minor:', 'cuts', 'scrapes', 'burns']",
Neosporin,Topical Antibiotics/Antiseptics,985530.75,"Bacitracin 400 units; First aid antibiotic
Neomycin 3.5 mg; First aid antibiotic
Polymyxin B 5,000 units; First aid antibiotic","['cuts', 'scrapes', 'burns']",
Neosporin,Topical Antibiotics/Antiseptics,985530.75,"Neomycin 3.5 mg; First aid antibiotic
	Polymyxin B 10,000 units; First aid antibiotic
	Pramoxine HCl 10 mg; Topical analgesic","['first aid to help prevent infection and temporarily relief of pain or discomfort in minor:', 'cuts', 'scrapes', 'burns']",
Dermoplast,Burn Treatments,123299.04,"Benzethonium Chloride USP 0.2%; Antiseptic
	Benzocaine USP 20%; Topical analgesic","['sunburn', 'insect bites', 'minor cuts', 'scrapes', 'minor burns', 'minor skin irritations']",
Dermoplast,Burn Treatments,123299.04,"Benzocaine USP 20%; Topical analgesic
	Menthol USP 0.5%; Topical analgesic",,
First Degree,Burn Treatments,7706.19,"Calendula Officinalis Q; Antiseptic; Promotes rapid wound healing
Cantharis Vesicatoria 3x; Treats burns & scalds
Echinacea Angustifolia Q; Aids in the healing of burns and blisters; Antiseptic

	 ","['Soothes the pain by temporarily cooling the burn', 'Acts as an antiseptic to prevent the spread of infection', 'Helps reduce the appearance of scars']",
First Degree,Burn Treatments,7706.19,"Benzocaine 20.0%; Pain relieving spray
	Triclosan 0.13%; First aid antiseptic

	 

	 ","['for temporary relief of pain and itching from minor burns, cuts and scrapes', 'first aid to help prevent infection in minor burns, cuts and scrapes']",
Bactine,Burn Treatments,23118.57,"Benzalkonium Cl 0.13% w/w; First aid antiseptic
Lidocaine HCl 2.5% w/w; Pain relieving spray","['cuts', 'scrapes', 'burns', 'sunburn', 'skin irritations']",
Bactine,Burn Treatments,23118.57,"Benzalkonium Cl 0.13% w/w; First aid antiseptic
Lidocaine HCl 2.5% w/w; Pain relieving liquid

	 ","['cuts', 'scrapes', 'burns']",
A+D Original Ointment,Burn Treatments,53943.33,"Lanolin 15.5%; Diaper rash ointment

		Petrolatum 53.4%; Skin Protectant","['helps treat and prevent diaper rash', 'temporarily protects minor:\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns', 'cuts', 'scrapes', 'burns', 'temporarily protects and helps relieve chapped, chafed or cracked skin and lips', 'protect chafed skin due to diaper rash and helps seal out wetness']",
A+D Original Ointment,Burn Treatments,53943.33,"Lanolin 15.5%; Diaper rash ointment
Petrolatum 53.4%; Skin Protectant","['Temporarily protects minor:\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns', 'cuts', 'scrapes', 'burns', 'Ttemporarily protects and helps relieve chafed, chapped or cracked skin and lips', 'Helps protect from the drying effects of wind and cold weather']",
Bacitraycin Plus,Burn Treatments,30824.76,"In each gram
Bacitracin 500 units; First Aid Antibiotic","['minor cuts', 'scrapes', 'burns']",
Bacitraycin Plus,Burn Treatments,30824.76,"In each gram
Bacitracin 500 units; First Aid Antibiotic","['minor cuts', 'scrapes', 'burns']",
Bacitraycin Plus,Burn Treatments,30824.76,"In each gram
Bacitracin 500 units; First Aid Antibiotic
Lidocaine 40 mg; Pain Reliever","['minor cuts', 'scrapes', 'burns']",
Neosporin,Burn Treatments,246598.08,"Neomycin 3.5 mg; First aid antibiotic
	Polymyxin B 10,000 units; First aid antibiotic
	Pramoxine HCl 10 mg; Topical analgesic","['first aid to help prevent infection and temporarily relief of pain or discomfort in minor:', 'cuts', 'scrapes', 'burns']",
Neosporin,Burn Treatments,246598.08,"Bacitracin 400 units; First aid antibiotic
Neomycin 3.5 mg; First aid antibiotic
Polymyxin B 5,000 units; First aid antibiotic","['cuts', 'scrapes', 'burns']",
Neosporin,Burn Treatments,246598.08,"Bacitracin 500 units; First aid antibiotic
Neomycin 3.5 mg; First aid antibiotic
Polymyxin B 10,000 units; First aid antibiotic
Pramoxine HCl 10 mg; External analgesic","['cuts', 'scrapes', 'burns']",
Emetrol,Motion Sickness Remedies,18836.16,"Each 5 mL contains*:
3.74g Total sugar; Upset stomach reliever
21.5mg Phosphoric acid; Upset stomach reliever

Phosphorated carbohydrate solution*",,
Emetrol,Motion Sickness Remedies,18836.16,"Each 5 mL contains*:
1.87 g Dextrose (glucose); Upset stomach reliever
1.87 g Levulose (fructose); Upset stomach reliever
21.5 mg Phosphoric acid; Upset stomach reliever

Phosphorated carbohydrate solution*",,
Dramamine,Motion Sickness Remedies,307657.28,"In each tablet
Meclizine HCI 25 mg; antiemetic","['nausea', 'vomiting', 'dizziness']",
Dramamine,Motion Sickness Remedies,307657.28,"In each tablet
Dimenhydrinate 25 mg; Antiemetic","['nausea', 'vomiting', 'dizziness']",
Dramamine,Motion Sickness Remedies,307657.28,"In each tablet
Dimenhydrinate 50 mg; antiemetic","['nausea', 'vomiting', 'dizziness']",
Bonine,Motion Sickness Remedies,232312.64,"In each tablet
Cyclizine HCl 25 mg; antiemetic",,
Bonine,Motion Sickness Remedies,232312.64,"In each tablet
Meclizine HCl 25 mg; antiemetic",,
St. Joseph,"Aspirin, Recurrent Heart Attack/Stroke Prevention",123010.32,"In each tablet
Aspirin 81mg (NSAID)*; pain reliever

*nonsteroidal anti-inflammatory drug",,
St. Joseph,"Aspirin, Recurrent Heart Attack/Stroke Prevention",123010.32,"In each tablet
Aspirin 81mg (NSAID)*; pain reliever

*nonsteroidal anti-inflammatory drug",,
Ecotrin,"Aspirin, Recurrent Heart Attack/Stroke Prevention",492041.28,"In each tablet
	Aspirin (NSAID) *325mg; pain reliever

	*nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor arthritis pain\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tmenstrual pain\n\r\n\t\t\t\tcolds', 'headache', 'minor arthritis pain', 'toothache', 'menstrual pain', 'colds', 'or as recommended by a doctor']",
Ecotrin,"Aspirin, Recurrent Heart Attack/Stroke Prevention",492041.28,"In each tablet
	Aspirin (NSAID) * 81mg; pain reliever

	*nonsteroidal anti-inflammatory drug","['for the temporary relief of minor aches and pains due to:\r\n\t\t\t\n\r\n\t\t\t\t\theadache\n\r\n\t\t\t\t\tminor arthritis pain\n\r\n\t\t\t\t\ttoothache\n\r\n\t\t\t\t\tmenstrual pain\n\r\n\t\t\t\t\tthe common cold', 'headache', 'minor arthritis pain', 'toothache', 'menstrual pain', 'the common cold', 'or as recommended by a doctor']",
Bayer,"Aspirin, Recurrent Heart Attack/Stroke Prevention",922577.4,"In each tablet
Aspirin 81 mg (NSAID)*; pain reliever

*nonsteroidal anti-inflammatory drug","['for the temporary relief of minor aches and pains or as recommended by your doctor.\xc2\xa0Because of its delayed action, this product will not provide fast relief of headaches or other symptoms needing immediate relief.', 'ask your doctor about other uses for Bayer Safety Coated 81 mg Aspirin']",
Bayer,"Aspirin, Recurrent Heart Attack/Stroke Prevention",922577.4,"In each tablet
Aspirin 325 mg (NSAID)*; pain reliever/fever reducer

*nonsteroidal anti-inflammatory drug","['headache', 'muscle pain', 'toothache', 'menstrual pain', 'pain and fever of colds', 'minor pain of arthritis']",
Bayer,"Aspirin, Recurrent Heart Attack/Stroke Prevention",922577.4,"In each tablet
Aspirin 81 mg (NSAID)*; pain reliever

*nonsteroidal anti-inflammatory drug","['for the temporary relief of minor aches and pains or as recommended by your doctor', 'ask your doctor about other uses for Bayer 81 mg Cherry Chewable Aspirin']",
Vicks ZzzQuil,Sleep Aids,134010.24,"In each 30ml:
Diphenhydramine HCl 50 mg; nightime sleep-aid","['for the relief of occasional sleeplessness', 'reduces time to fall asleep if you have difficulty falling asleep']",
Vicks ZzzQuil,Sleep Aids,134010.24,"In each capsule:
Diphenhydramine HCl 25 mg; nighttime sleep-aid","['for the relief of occasional sleeplessness', 'reduces time to fall asleep if you have difficulty falling asleep']",
Unisom,Sleep Aids,507324.48,Doxylamine succinate 25 mg,['helps to reduce difficulty in falling asleep'],
Unisom,Sleep Aids,507324.48,Diphenhydramine HCI 50 mg,['for relief of occasional sleeplessness'],
Unisom,Sleep Aids,507324.48,"Acetaminophen 325 mg
Diphenhydramine HCl 50 mg",['for the temporary relief of occasional headaches and minor aches and pains with\xc2\xa0accompanying sleeplessness'],
Unisom,Sleep Aids,507324.48,Diphenhydramine HCI 25 mg,['for relief of occasional sleeplessness'],
Sominex,Sleep Aids,86149.44,"In each tablet
Diphenhydramine HCl 25 mg ",,
Sominex,Sleep Aids,86149.44,"In each caplet
Diphenhydramine HCl 50mg; nighttime sleep-aid",,
Nauzene,Nausea Remedies,54309.3,"Per 15ml
Sodium citrate dihydrate, 0.921 g; Antacid/Upset stomach reliever",,
Nauzene,Nausea Remedies,54309.3,"In each tablet
Sodium citrate dihydrate, 230 mg; Antacid/Upset stomach reliever",,
Nauzene,Nausea Remedies,54309.3,"Per 15ml
Dextrose (glucose) 4.35 g; anti-nausea
Levulose (fructose) 4.17 g; anti-nausea
Sodium citrate dihydrate, 0.921 g; antacid",,
Emetrol,Nausea Remedies,742227.1,"Each 5 mL contains*:
1.87 g Dextrose (glucose); Upset stomach reliever
1.87 g Levulose (fructose); Upset stomach reliever
21.5 mg Phosphoric acid; Upset stomach reliever

Phosphorated carbohydrate solution*",,
Emetrol,Nausea Remedies,742227.1,"Each 5 mL contains*:
3.74g Total sugar; Upset stomach reliever
21.5mg Phosphoric acid; Upset stomach reliever

Phosphorated carbohydrate solution*",,
Alka-Seltzer,Nausea Remedies,108618.6,"Active ingredients (in each tablet)

			Anhydrous citric acid 1000 mg

			Aspirin 325 mg (NSAID)*

			Sodium bicarbonate (heat-treated) 1916 mg

			*nonsteroidal anti-inflammatory drug","['heartburn, acid indigestion, and sour stomach when accompanied with headache or body aches and pains', 'upset stomach with headache from overindulgence in food or drink', 'headache, body aches, and pain alone']",
Alka-Seltzer,Nausea Remedies,108618.6,"Anhydrous citric acid 1000 mg; Antacid
Potassium bicarbonate 344 mg; Antacid
Sodium bicarbonate (heat-treated) 1050 mg; Antacid","['heartburn', 'acid indigestion', 'sour stomach']",
Alka-Seltzer,Nausea Remedies,108618.6,"In each tablet
Calcium carbonate 750 mg; antacid","['acid indigestion', 'heartburn', 'sour stomach', 'upset stomach associated with these symptoms']",
Pepcid,H2 Receptor Antagonists,526868.55,"In each tablet:

	Famotidine 10 mg",,
Pepcid,H2 Receptor Antagonists,526868.55,"In each tablet
Famotidine 20 mg; acid reducer","['relieves heartburn associated with acid indigestion and sour stomach', 'prevents heartburn associated with acid indigestion and sour stomach brought on by eating or drinking certain food and beverages']",
